Timestamp,FIT102SoftWaterSupplyNo1_Flow(m³/hr)
05-Feb-26 8:30:00 AM ICT,0.0
05-Feb-26 9:00:00 AM ICT,0.0
05-Feb-26 9:30:00 AM ICT,0.0
05-Feb-26 10:00:00 AM ICT,0.0
05-Feb-26 10:30:00 AM ICT,0.0
05-Feb-26 11:00:00 AM ICT,0.0
05-Feb-26 11:30:00 AM ICT,0.0
05-Feb-26 12:00:00 PM ICT,0.0
05-Feb-26 12:30:00 PM ICT,0.0
05-Feb-26 1:00:00 PM ICT,0.0
05-Feb-26 1:30:00 PM ICT,0.0
05-Feb-26 2:00:00 PM ICT,0.0
05-Feb-26 2:30:00 PM ICT,0.0
05-Feb-26 3:00:00 PM ICT,0.0
05-Feb-26 3:30:00 PM ICT,0.0
05-Feb-26 4:00:00 PM ICT,0.0
05-Feb-26 4:30:00 PM ICT,0.0
05-Feb-26 5:00:00 PM ICT,0.0
05-Feb-26 5:30:00 PM ICT,0.0
05-Feb-26 6:00:00 PM ICT,0.0
05-Feb-26 6:30:00 PM ICT,0.0
05-Feb-26 7:00:00 PM ICT,0.0
05-Feb-26 7:30:00 PM ICT,0.0
05-Feb-26 8:00:00 PM ICT,0.0
05-Feb-26 8:30:00 PM ICT,0.0
05-Feb-26 9:00:00 PM ICT,0.0
05-Feb-26 9:30:00 PM ICT,0.0
05-Feb-26 10:00:00 PM ICT,0.0
05-Feb-26 10:30:00 PM ICT,0.0
05-Feb-26 11:00:00 PM ICT,0.0
05-Feb-26 11:30:00 PM ICT,0.0
06-Feb-26 12:00:00 AM ICT,0.0
06-Feb-26 12:30:00 AM ICT,0.0
06-Feb-26 1:00:00 AM ICT,0.0
06-Feb-26 1:30:00 AM ICT,0.0
06-Feb-26 2:00:00 AM ICT,0.0
06-Feb-26 2:30:00 AM ICT,0.0
06-Feb-26 3:00:00 AM ICT,0.0
06-Feb-26 3:30:00 AM ICT,0.0
06-Feb-26 4:00:00 AM ICT,0.0
06-Feb-26 4:30:00 AM ICT,0.0
06-Feb-26 5:00:00 AM ICT,0.0
06-Feb-26 5:30:00 AM ICT,0.0
06-Feb-26 6:00:00 AM ICT,0.0
06-Feb-26 6:30:00 AM ICT,0.0
06-Feb-26 7:00:00 AM ICT,0.0
06-Feb-26 7:30:00 AM ICT,0.0
06-Feb-26 8:00:00 AM ICT,0.0
06-Feb-26 8:30:00 AM ICT,0.0
06-Feb-26 9:00:00 AM ICT,0.0
06-Feb-26 9:30:00 AM ICT,0.0
06-Feb-26 10:00:00 AM ICT,0.0
06-Feb-26 10:30:00 AM ICT,0.0
06-Feb-26 11:00:00 AM ICT,0.0
06-Feb-26 11:30:00 AM ICT,0.0
06-Feb-26 12:00:00 PM ICT,0.0
06-Feb-26 12:30:00 PM ICT,0.0
06-Feb-26 1:00:00 PM ICT,0.0
06-Feb-26 1:30:00 PM ICT,0.0
06-Feb-26 2:00:00 PM ICT,0.0
06-Feb-26 2:30:00 PM ICT,0.0
06-Feb-26 3:00:00 PM ICT,0.0
06-Feb-26 3:30:00 PM ICT,0.0
06-Feb-26 4:00:00 PM ICT,0.0
06-Feb-26 4:30:00 PM ICT,0.0
06-Feb-26 5:00:00 PM ICT,0.0
06-Feb-26 5:30:00 PM ICT,0.0
06-Feb-26 6:00:00 PM ICT,0.0
06-Feb-26 6:30:00 PM ICT,0.0
06-Feb-26 7:00:00 PM ICT,0.0
06-Feb-26 7:30:00 PM ICT,0.0
06-Feb-26 8:00:00 PM ICT,0.0
06-Feb-26 8:30:00 PM ICT,0.0
06-Feb-26 9:00:00 PM ICT,0.0
06-Feb-26 9:30:00 PM ICT,0.0
06-Feb-26 10:00:00 PM ICT,0.0
06-Feb-26 10:30:00 PM ICT,0.0
06-Feb-26 11:00:00 PM ICT,0.0
06-Feb-26 11:30:00 PM ICT,0.0
07-Feb-26 12:00:00 AM ICT,0.0
07-Feb-26 12:30:00 AM ICT,0.0
07-Feb-26 1:00:00 AM ICT,0.0
07-Feb-26 1:30:00 AM ICT,0.0
07-Feb-26 2:00:00 AM ICT,0.0
07-Feb-26 2:30:00 AM ICT,0.0
07-Feb-26 3:00:00 AM ICT,0.0
07-Feb-26 3:30:00 AM ICT,0.0
07-Feb-26 4:00:00 AM ICT,0.0
07-Feb-26 4:30:00 AM ICT,0.0
07-Feb-26 5:00:00 AM ICT,0.0
07-Feb-26 5:30:00 AM ICT,0.0
07-Feb-26 6:00:00 AM ICT,0.0
07-Feb-26 6:30:00 AM ICT,0.0
07-Feb-26 7:00:00 AM ICT,0.0
07-Feb-26 7:30:00 AM ICT,0.0
07-Feb-26 8:00:00 AM ICT,0.0
07-Feb-26 8:30:00 AM ICT,0.0
07-Feb-26 9:00:00 AM ICT,0.0
07-Feb-26 9:30:00 AM ICT,0.0
07-Feb-26 10:00:00 AM ICT,0.0
07-Feb-26 10:30:00 AM ICT,0.0
07-Feb-26 11:00:00 AM ICT,0.0
07-Feb-26 11:30:00 AM ICT,0.0
07-Feb-26 12:00:00 PM ICT,0.0
07-Feb-26 12:30:00 PM ICT,0.0
07-Feb-26 1:00:00 PM ICT,0.0
07-Feb-26 1:30:00 PM ICT,0.0
07-Feb-26 2:00:00 PM ICT,0.0
07-Feb-26 2:30:00 PM ICT,0.0
07-Feb-26 3:00:00 PM ICT,0.0
07-Feb-26 3:30:00 PM ICT,0.0
07-Feb-26 4:00:00 PM ICT,0.0
07-Feb-26 4:30:00 PM ICT,0.0
07-Feb-26 5:00:00 PM ICT,0.0
07-Feb-26 5:30:00 PM ICT,0.0
07-Feb-26 6:00:00 PM ICT,0.0
07-Feb-26 6:30:00 PM ICT,0.0
07-Feb-26 7:00:00 PM ICT,0.0
07-Feb-26 7:30:00 PM ICT,0.0
07-Feb-26 8:00:00 PM ICT,0.0
07-Feb-26 8:30:00 PM ICT,0.0
07-Feb-26 9:00:00 PM ICT,0.0
07-Feb-26 9:30:00 PM ICT,0.0
07-Feb-26 10:00:00 PM ICT,0.0
07-Feb-26 10:30:00 PM ICT,0.0
07-Feb-26 11:00:00 PM ICT,0.0
07-Feb-26 11:30:00 PM ICT,0.0
08-Feb-26 12:00:00 AM ICT,0.0
08-Feb-26 12:30:00 AM ICT,0.0
08-Feb-26 1:00:00 AM ICT,0.0
08-Feb-26 1:30:00 AM ICT,0.0
08-Feb-26 2:00:00 AM ICT,0.0
08-Feb-26 2:30:00 AM ICT,0.0
08-Feb-26 3:00:00 AM ICT,0.0
08-Feb-26 3:30:00 AM ICT,0.0
08-Feb-26 4:00:00 AM ICT,0.0
08-Feb-26 4:30:00 AM ICT,0.0
08-Feb-26 5:00:00 AM ICT,0.0
08-Feb-26 5:30:00 AM ICT,0.0
08-Feb-26 6:00:00 AM ICT,0.0
08-Feb-26 6:30:00 AM ICT,0.0
08-Feb-26 7:00:00 AM ICT,0.0
08-Feb-26 7:30:00 AM ICT,0.0
08-Feb-26 8:00:00 AM ICT,0.0
08-Feb-26 8:30:00 AM ICT,0.0
08-Feb-26 9:00:00 AM ICT,0.0
08-Feb-26 9:30:00 AM ICT,0.0
08-Feb-26 10:00:00 AM ICT,0.0
08-Feb-26 10:30:00 AM ICT,0.0
08-Feb-26 11:00:00 AM ICT,0.0
08-Feb-26 11:30:00 AM ICT,0.0
08-Feb-26 12:00:00 PM ICT,0.0
08-Feb-26 12:30:00 PM ICT,0.0
08-Feb-26 1:00:00 PM ICT,0.0
08-Feb-26 1:30:00 PM ICT,0.0
08-Feb-26 2:00:00 PM ICT,0.0
08-Feb-26 2:30:00 PM ICT,0.0
08-Feb-26 3:00:00 PM ICT,0.0
08-Feb-26 3:30:00 PM ICT,0.0
08-Feb-26 4:00:00 PM ICT,0.0
08-Feb-26 4:30:00 PM ICT,0.0
08-Feb-26 5:00:00 PM ICT,0.0
08-Feb-26 5:30:00 PM ICT,0.0
08-Feb-26 6:00:00 PM ICT,0.0
08-Feb-26 6:30:00 PM ICT,0.0
08-Feb-26 7:00:00 PM ICT,0.0
08-Feb-26 7:30:00 PM ICT,0.0
08-Feb-26 8:00:00 PM ICT,0.0
08-Feb-26 8:30:00 PM ICT,0.0
08-Feb-26 9:00:00 PM ICT,0.0
08-Feb-26 9:30:00 PM ICT,0.0
08-Feb-26 10:00:00 PM ICT,0.0
08-Feb-26 10:30:00 PM ICT,0.0
08-Feb-26 11:00:00 PM ICT,0.0
08-Feb-26 11:30:00 PM ICT,0.0
09-Feb-26 12:00:00 AM ICT,0.0
09-Feb-26 12:30:00 AM ICT,0.0
09-Feb-26 1:00:00 AM ICT,0.0
09-Feb-26 1:30:00 AM ICT,0.0
09-Feb-26 2:00:00 AM ICT,0.0
09-Feb-26 2:30:00 AM ICT,0.0
09-Feb-26 3:00:00 AM ICT,0.0
09-Feb-26 3:30:00 AM ICT,0.0
09-Feb-26 4:00:00 AM ICT,0.0
09-Feb-26 4:30:00 AM ICT,0.0
09-Feb-26 5:00:00 AM ICT,0.0
09-Feb-26 5:30:00 AM ICT,0.0
09-Feb-26 6:00:00 AM ICT,0.0
09-Feb-26 6:30:00 AM ICT,0.0
09-Feb-26 7:00:00 AM ICT,0.0
09-Feb-26 7:30:00 AM ICT,0.0
09-Feb-26 8:00:00 AM ICT,0.0
09-Feb-26 8:30:00 AM ICT,0.0
09-Feb-26 9:00:00 AM ICT,0.0
09-Feb-26 9:30:00 AM ICT,0.0
09-Feb-26 10:00:00 AM ICT,0.0
09-Feb-26 10:30:00 AM ICT,0.0
09-Feb-26 11:00:00 AM ICT,0.0
09-Feb-26 11:30:00 AM ICT,0.0
09-Feb-26 12:00:00 PM ICT,0.0
09-Feb-26 12:30:00 PM ICT,0.0
09-Feb-26 1:00:00 PM ICT,0.0
09-Feb-26 1:30:00 PM ICT,0.0
09-Feb-26 2:00:00 PM ICT,0.0
09-Feb-26 2:30:00 PM ICT,0.0
09-Feb-26 3:00:00 PM ICT,0.0
09-Feb-26 3:30:00 PM ICT,0.0
09-Feb-26 4:00:00 PM ICT,0.0
09-Feb-26 4:30:00 PM ICT,0.0
09-Feb-26 5:00:00 PM ICT,0.0
09-Feb-26 5:30:00 PM ICT,0.0
09-Feb-26 6:00:00 PM ICT,0.0
09-Feb-26 6:30:00 PM ICT,0.0
09-Feb-26 7:00:00 PM ICT,0.0
09-Feb-26 7:30:00 PM ICT,0.0
09-Feb-26 8:00:00 PM ICT,0.0
09-Feb-26 8:30:00 PM ICT,0.0
09-Feb-26 9:00:00 PM ICT,0.0
09-Feb-26 9:30:00 PM ICT,0.0
09-Feb-26 10:00:00 PM ICT,0.0
09-Feb-26 10:30:00 PM ICT,0.0
09-Feb-26 11:00:00 PM ICT,0.0
09-Feb-26 11:30:00 PM ICT,0.0
10-Feb-26 12:00:00 AM ICT,0.0
10-Feb-26 12:30:00 AM ICT,0.0
10-Feb-26 1:00:00 AM ICT,0.0
10-Feb-26 1:30:00 AM ICT,0.0
10-Feb-26 2:00:00 AM ICT,0.0
10-Feb-26 2:30:00 AM ICT,0.0
10-Feb-26 3:00:00 AM ICT,0.0
10-Feb-26 3:30:00 AM ICT,0.0
10-Feb-26 4:00:00 AM ICT,0.0
10-Feb-26 4:30:00 AM ICT,0.0
10-Feb-26 5:00:00 AM ICT,0.0
10-Feb-26 5:30:00 AM ICT,0.0
10-Feb-26 6:00:00 AM ICT,0.0
10-Feb-26 6:30:00 AM ICT,0.0
10-Feb-26 7:00:00 AM ICT,0.0
10-Feb-26 7:30:00 AM ICT,0.0
10-Feb-26 8:00:00 AM ICT,0.0
10-Feb-26 8:30:00 AM ICT,0.0
10-Feb-26 9:00:00 AM ICT,0.0
10-Feb-26 9:30:00 AM ICT,0.0
10-Feb-26 10:00:00 AM ICT,0.0
10-Feb-26 10:30:00 AM ICT,0.0
10-Feb-26 11:00:00 AM ICT,0.0
10-Feb-26 11:30:00 AM ICT,0.0
10-Feb-26 12:00:00 PM ICT,0.0
10-Feb-26 12:30:00 PM ICT,0.0
10-Feb-26 1:00:00 PM ICT,0.0
10-Feb-26 1:30:00 PM ICT,0.0
10-Feb-26 2:00:00 PM ICT,0.0
10-Feb-26 2:30:00 PM ICT,0.0
10-Feb-26 3:00:00 PM ICT,0.0
10-Feb-26 3:30:00 PM ICT,0.0
10-Feb-26 4:00:00 PM ICT,0.0
10-Feb-26 4:30:00 PM ICT,0.0
10-Feb-26 5:00:00 PM ICT,0.0
10-Feb-26 5:30:00 PM ICT,0.0
10-Feb-26 6:00:00 PM ICT,0.0
10-Feb-26 6:30:00 PM ICT,0.0
10-Feb-26 7:00:00 PM ICT,0.0
10-Feb-26 7:30:00 PM ICT,0.0
10-Feb-26 8:00:00 PM ICT,0.0
10-Feb-26 8:30:00 PM ICT,0.0
10-Feb-26 9:00:00 PM ICT,0.0
10-Feb-26 9:30:00 PM ICT,0.0
10-Feb-26 10:00:00 PM ICT,0.0
10-Feb-26 10:30:00 PM ICT,0.0
10-Feb-26 11:00:00 PM ICT,0.0
10-Feb-26 11:30:00 PM ICT,0.0
11-Feb-26 12:00:00 AM ICT,0.0
11-Feb-26 12:30:00 AM ICT,0.0
11-Feb-26 1:00:00 AM ICT,0.0
11-Feb-26 1:30:00 AM ICT,0.0
11-Feb-26 2:00:00 AM ICT,0.0
11-Feb-26 2:30:00 AM ICT,0.0
11-Feb-26 3:00:00 AM ICT,0.0
11-Feb-26 3:30:00 AM ICT,0.0
11-Feb-26 4:00:00 AM ICT,0.0
11-Feb-26 4:30:00 AM ICT,0.0
11-Feb-26 5:00:00 AM ICT,0.0
11-Feb-26 5:30:00 AM ICT,0.0
11-Feb-26 6:00:00 AM ICT,0.0
11-Feb-26 6:30:00 AM ICT,0.0
11-Feb-26 7:00:00 AM ICT,0.0
11-Feb-26 7:30:00 AM ICT,0.0
11-Feb-26 8:00:00 AM ICT,0.0
11-Feb-26 8:30:00 AM ICT,0.0
11-Feb-26 9:00:00 AM ICT,0.0
11-Feb-26 9:30:00 AM ICT,0.0
11-Feb-26 10:00:00 AM ICT,0.0
11-Feb-26 10:30:00 AM ICT,0.0
11-Feb-26 11:00:00 AM ICT,0.0
11-Feb-26 11:30:00 AM ICT,0.0
11-Feb-26 12:00:00 PM ICT,0.0
11-Feb-26 12:30:00 PM ICT,0.0
11-Feb-26 1:00:00 PM ICT,0.0
11-Feb-26 1:30:00 PM ICT,0.0
11-Feb-26 2:00:00 PM ICT,0.0
11-Feb-26 2:30:00 PM ICT,0.0
11-Feb-26 3:00:00 PM ICT,0.0
11-Feb-26 3:30:00 PM ICT,0.0
11-Feb-26 4:00:00 PM ICT,0.0
11-Feb-26 4:30:00 PM ICT,0.0
11-Feb-26 5:00:00 PM ICT,0.0
11-Feb-26 5:30:00 PM ICT,0.0
11-Feb-26 6:00:00 PM ICT,0.0
11-Feb-26 6:30:00 PM ICT,0.0
11-Feb-26 7:00:00 PM ICT,0.0
11-Feb-26 7:30:00 PM ICT,0.0
11-Feb-26 8:00:00 PM ICT,0.0
11-Feb-26 8:30:00 PM ICT,0.0
11-Feb-26 9:00:00 PM ICT,0.0
11-Feb-26 9:30:00 PM ICT,0.0
11-Feb-26 10:00:00 PM ICT,0.0
11-Feb-26 10:30:00 PM ICT,0.0
11-Feb-26 11:00:00 PM ICT,0.0
11-Feb-26 11:30:00 PM ICT,0.0
12-Feb-26 12:00:00 AM ICT,0.0
